defect_count: 9
cx=274.8 cy=287.4 w=75.5 h=38.6 angle=7.1
cx=467.5 cy=105.0 w=80.3 h=31.1 angle=180.0
cx=569.8 cy=99.2 w=41.4 h=31.1 angle=90.0
cx=572.4 cy=287.9 w=67.3 h=46.7 angle=90.0
cx=606.0 cy=138.1 w=25.9 h=15.6 angle=180.0
cx=423.5 cy=146.4 w=65.7 h=20.0 angle=167.5
cx=602.1 cy=248.0 w=23.3 h=17.5 angle=90.0
cx=476.5 cy=144.9 w=20.7 h=13.6 angle=180.0
cx=115.2 cy=243.2 w=54.4 h=23.3 angle=180.0
