defect_count: 9
cx=401.0 cy=585.6 w=111.9 h=46.4 angle=175.6
cx=401.2 cy=646.2 w=120.4 h=50.4 angle=180.0
cx=383.7 cy=392.5 w=35.1 h=15.8 angle=90.0
cx=968.6 cy=154.5 w=221.1 h=61.1 angle=2.0
cx=1098.4 cy=698.2 w=185.6 h=56.7 angle=90.0
cx=203.6 cy=682.8 w=177.7 h=74.0 angle=99.1
cx=516.6 cy=461.8 w=65.2 h=25.2 angle=90.0
cx=709.7 cy=323.1 w=85.3 h=47.3 angle=90.0
cx=925.4 cy=658.8 w=85.3 h=50.4 angle=180.0
