defect_count: 10
cx=284.1 cy=32.8 w=43.9 h=16.3 angle=28.6
cx=436.7 cy=224.7 w=24.4 h=12.3 angle=90.0
cx=398.1 cy=223.2 w=28.4 h=18.5 angle=180.0
cx=484.5 cy=295.5 w=46.7 h=24.6 angle=180.0
cx=192.0 cy=210.9 w=22.3 h=12.3 angle=180.0
cx=243.8 cy=290.1 w=32.5 h=13.9 angle=180.0
cx=323.0 cy=215.5 w=32.5 h=15.4 angle=90.0
cx=99.5 cy=292.4 w=24.4 h=15.4 angle=90.0
cx=156.4 cy=220.9 w=22.3 h=15.4 angle=90.0
cx=434.7 cy=375.5 w=28.4 h=12.3 angle=180.0
